employer,$10 - $12,$12 - $14,$14 - $16,$16 - $18,$18 - $20,At least $20,Under $10,Under $11,Under $12,Under $13,Under $14,Under $15,Under $16,Under $17,Under $18,Under $19,Under $20,revenue,employment,ceo_pay
Ace Hardware,0.27,0.25,0.23,0.08,0.06,0.05,0.06,0.17,0.33,0.42,0.58,0.71,0.81,0.87,0.89,0.95,0.95,"8,594,200,000","38,464",NA
Albertsons,0.09,0.16,0.21,0.21,0.13,0.21,0.01,0.08,0.1,0.16,0.26,0.36,0.46,0.57,0.67,0.75,0.79,"70,275,800,000","131,158",NA
Aldi,0,0.16,0.41,0.14,0.09,0.21,0,0,0,0.03,0.16,0.36,0.56,0.66,0.7,0.74,0.79,NA,"20,945",NA
Amazon,0,0,0.27,0.4,0.19,0.13,0,0,0,0,0,0,0.27,0.51,0.68,0.81,0.87,"386,064,000,000","1,298,000","212,701,169"
Applebee's,0.1,0.14,0.17,0.17,0.08,0.24,0.1,0.13,0.2,0.26,0.33,0.42,0.51,0.59,0.68,0.71,0.76,"689,268,000","112,137","1,690,044"
Arby's,0.35,0.26,0.15,0.08,0.01,0.01,0.14,0.31,0.49,0.63,0.75,0.84,0.9,0.96,0.98,0.99,0.99,"3,884,000,000","68,607",NA
Bath & Body Works,0.29,0.38,0.2,0.09,0.01,0.03,0.01,0.02,0.29,0.57,0.67,0.8,0.87,0.92,0.96,0.96,0.97,"12,914,000,000","32,012","5,315,270"
Best Western,0.32,0.23,0.18,0.05,0.03,0.04,0.15,0.36,0.47,0.61,0.69,0.77,0.88,0.89,0.93,0.96,0.96,NA,"41,725",NA
Big Lots,0.31,0.31,0.19,0.08,0.01,0.03,0.07,0.27,0.38,0.56,0.7,0.8,0.89,0.95,0.97,0.97,0.97,"6,199,186,000","37,000","5,266,231"
Burger King,0.3,0.25,0.2,0.04,0.01,0.02,0.17,0.32,0.48,0.62,0.73,0.83,0.93,0.95,0.97,0.98,0.98,"3,834,366,249","191,698","4,699,458"
Chick-fil-A,0.27,0.24,0.19,0.11,0.04,0.04,0.11,0.25,0.38,0.51,0.62,0.72,0.81,0.88,0.92,0.95,0.96,NA,"111,163",NA
Chipotle,0.13,0.27,0.23,0.21,0.1,0.03,0.03,0.1,0.16,0.28,0.43,0.54,0.66,0.78,0.87,0.95,0.97,"5,984,634,000","54,508","60,684,738"
Costco,0.01,0,0.01,0.32,0.12,0.53,0,0.01,0.01,0.01,0.01,0.01,0.02,0.2,0.34,0.43,0.47,"166,761,000,000","126,439","17,178,623"
Cracker Barrel,0.24,0.18,0.14,0.1,0.06,0.16,0.13,0.28,0.37,0.48,0.55,0.61,0.68,0.74,0.78,0.83,0.84,"2,522,792,000","77,315","5,463,512"
CVS,0.04,0.2,0.19,0.33,0.08,0.16,0,0.01,0.04,0.1,0.23,0.32,0.43,0.66,0.76,0.81,0.84,"268,399,000,000","191,712","15,069,854"
DHL,0,0.03,0.27,0.32,0.16,0.21,0,0,0,0.01,0.03,0.09,0.31,0.47,0.63,0.75,0.79,NA,NA,NA
Dollar General,0.35,0.27,0.12,0.02,0.01,0.01,0.22,0.39,0.57,0.71,0.84,0.92,0.97,0.98,0.98,0.99,0.99,"33,746,839,000","119,904","58,544,766"
Domino's,0.18,0.19,0.18,0.13,0.1,0.14,0.09,0.16,0.27,0.36,0.46,0.53,0.64,0.71,0.76,0.84,0.86,"4,117,411,000","105,168","17,058,053"
Dunkin' Donuts,0.21,0.26,0.26,0.13,0.03,0.02,0.08,0.18,0.29,0.41,0.55,0.68,0.82,0.9,0.95,0.98,0.98,"1,308,000,000","117,818",NA
Express,0.09,0.14,0.21,0.17,0.17,0.22,0,0.03,0.09,0.15,0.23,0.32,0.43,0.53,0.61,0.71,0.78,"1,208,374,000","18,759","1,000,000"
FedEx,0,0.08,0.18,0.19,0.15,0.4,0,0,0,0.03,0.09,0.14,0.26,0.36,0.46,0.53,0.6,"83,959,000,000","577,000","39,738,941"
Food Lion,0.33,0.21,0.13,0.08,0.07,0.03,0.15,0.34,0.48,0.61,0.69,0.77,0.82,0.87,0.9,0.94,0.97,NA,"64,124",NA
GameStop,0.16,0.25,0.09,0.21,0.06,0.08,0.15,0.23,0.31,0.47,0.56,0.61,0.65,0.82,0.86,0.9,0.92,"5,089,800,000","26,562","2,036,405"
Gap,0.42,0.2,0.11,0.07,0.05,0.11,0.04,0.31,0.46,0.56,0.66,0.72,0.77,0.81,0.84,0.87,0.89,"13,800,000,000","126,646","3,560,053"
H-E-B,0.03,0.04,0.47,0.21,0.1,0.15,0,0.03,0.03,0.05,0.07,0.25,0.54,0.66,0.75,0.81,0.85,NA,"62,782",NA
Hannaford,0.03,0.38,0.2,0.19,0.11,0.06,0.01,0.01,0.05,0.19,0.43,0.56,0.63,0.72,0.83,0.89,0.94,NA,"23,767",NA
Home Depot,0.02,0.22,0.29,0.17,0.1,0.18,0,0.01,0.02,0.11,0.24,0.42,0.54,0.63,0.71,0.76,0.82,"132,110,000,000","345,139","39,233,324"
IHOP,0.16,0.17,0.18,0.11,0.07,0.15,0.14,0.24,0.31,0.41,0.48,0.58,0.66,0.74,0.77,0.82,0.85,"689,268,000","74,242","1,690,044"
In-N-Out Burger,0,0.02,0.22,0.36,0.26,0.14,0,0,0,0,0.02,0.09,0.24,0.41,0.6,0.76,0.86,"6,600,000","21,017",NA
