employer,employment_level,employment_year,employment_source,revenue_level,revenue_year,revenue_source
"Ace Hardware",8700,2018,https://craft.co/ace-hardware-1,7800000000,2020,https://craft.co/ace-hardware-1
Albertsons,300000,2021,https://craft.co/albertsons,69700000000,2020,https://craft.co/albertsons
Aldi,,,,91900000000,2020,https://nrf.com/resources/top-retailers/top-50-global-retailers/top-50-global-retailers-2020
Arby's,80000,2019,https://www.cnbc.com/2019/04/16/how-humor-saved-arbys-and-bolstered-its-brand.html,3884000000,2019,https://www.restaurantbusinessonline.com/top-500-chains-2020/arbys
"Best Western",,,,,,
Chick-Fil-A,36199,2021,https://craft.co/chick-fil-a,11300000000,2019,https://www.forbes.com/sites/aliciakelso/2020/06/30/chick-fil-a-named-americas-favorite-restaurant-chain-for-the-sixth-straight-year/?sh=6795820e5d7a
DHL,400000,2022,https://www.forbes.com/companies/dhl/?sh=7fb67d8e7cfa,,,
"Dunkin Donuts",650000,2021,https://www.forbes.com/companies/dunkin-brands-group/?sh=341475a767ce,1250000000,2021,https://www.forbes.com/companies/dunkin-brands-group/?sh=341475a767ce
"Food Lion",,,,,,
Hannaford,,,,,,
HEB,23817,2022,https://craft.co/h-e-b,25000000000,2018,https://craft.co/h-e-b
"In-N-Out Burgers",6218,2022,https://craft.co/in-n-out-burger,,,
"Jimmy John's",,,,,,
Meijer,19893,2022,https://craft.co/meijer,17400000000,2018,https://craft.co/meijer
Panera,10000,2021,https://www.forbes.com/companies/panera-bread/?sh=1e8abebe3738,2840000000,,https://www.forbes.com/companies/panera-bread/?sh=1e8abebe3738
"Price Chopper",20000,2021,https://www.forbes.com/companies/golub/?sh=18708adf172d,3500000000,2021,https://www.forbes.com/companies/golub/?sh=18708adf172d
Publix,227000,2020,https://craft.co/publix,45200000000,2020,https://craft.co/publix
Safeway,300000,2021,https://craft.co/albertsons,69700000000,2020,https://craft.co/albertsons
Sonic,,,,,,
Speedway,138808,2021,https://www.7andi.com/en/ir/file/library/mr/pdf/202103_all_a.pdf,,,
"Stop & Shop",,,,,,
Subway,72646,2022,https://craft.co/subway,,,
"Waffle House",10000,2021,https://www.forbes.com/companies/waffle-house/?sh=53f765cc9c1d,,,
Wegmans,52000,2021,https://www.wegmans.com/about-us/company-overview/,11200000000,2021,https://www.wegmans.com/about-us/company-overview/
